Source,Target,Type
1,2,undirected
1,3,undirected
1,5,undirected
1,11,undirected
1,15,undirected
1,18,undirected
1,21,undirected
1,27,undirected
1,28,undirected
1,34,undirected
1,37,undirected
1,52,undirected
1,57,undirected
1,65,undirected
1,67,undirected
1,85,undirected
1,94,undirected
1,97,undirected
1,105,undirected
1,112,undirected
1,120,undirected
1,124,undirected
1,127,undirected
1,156,undirected
1,168,undirected
1,171,undirected
1,172,undirected
1,178,undirected
1,180,undirected
1,183,undirected
1,185,undirected
2,3,undirected
2,5,undirected
2,7,undirected
2,8,undirected
2,10,undirected
2,12,undirected
2,14,undirected
2,15,undirected
2,18,undirected
2,25,undirected
2,30,undirected
2,36,undirected
2,37,undirected
2,38,undirected
2,59,undirected
2,60,undirected
2,73,undirected
2,81,undirected
2,83,undirected
2,85,undirected
2,87,undirected
2,91,undirected
2,93,undirected
2,97,undirected
2,98,undirected
2,100,undirected
2,102,undirected
2,110,undirected
2,115,undirected
2,118,undirected
2,121,undirected
2,122,undirected
2,123,undirected
2,129,undirected
2,131,undirected
2,133,undirected
2,136,undirected
2,145,undirected
2,169,undirected
2,170,undirected
2,171,undirected
2,173,undirected
2,181,undirected
3,9,undirected
3,11,undirected
3,13,undirected
3,16,undirected
3,29,undirected
3,30,undirected
3,38,undirected
3,43,undirected
3,52,undirected
3,53,undirected
3,62,undirected
3,79,undirected
3,86,undirected
3,99,undirected
3,109,undirected
3,112,undirected
3,123,undirected
3,124,undirected
3,139,undirected
3,148,undirected
3,164,undirected
4,17,undirected
4,21,undirected
4,103,undirected
4,126,undirected
4,128,undirected
4,130,undirected
4,162,undirected
5,7,undirected
5,14,undirected
5,16,undirected
5,22,undirected
5,26,undirected
5,31,undirected
5,32,undirected
5,36,undirected
5,37,undirected
5,39,undirected
5,44,undirected
5,47,undirected
5,53,undirected
5,55,undirected
5,84,undirected
5,85,undirected
5,89,undirected
5,95,undirected
5,137,undirected
5,139,undirected
5,150,undirected
5,159,undirected
5,167,undirected
5,199,undirected
5,200,undirected
6,11,undirected
6,63,undirected
6,175,undirected
6,187,undirected
6,195,undirected
7,8,undirected
7,33,undirected
7,124,undirected
7,139,undirected
7,146,undirected
7,148,undirected
7,190,undirected
8,21,undirected
8,36,undirected
8,49,undirected
8,51,undirected
8,138,undirected
8,189,undirected
9,11,undirected
9,14,undirected
9,22,undirected
9,26,undirected
9,33,undirected
9,39,undirected
9,132,undirected
9,134,undirected
10,14,undirected
10,48,undirected
11,13,undirected
11,19,undirected
11,29,undirected
11,49,undirected
11,52,undirected
11,55,undirected
11,78,undirected
11,108,undirected
11,119,undirected
11,124,undirected
11,127,undirected
11,130,undirected
11,142,undirected
11,161,undirected
11,163,undirected
12,17,undirected
12,26,undirected
12,28,undirected
12,30,undirected
12,37,undirected
12,42,undirected
12,71,undirected
12,86,undirected
12,131,undirected
12,133,undirected
12,135,undirected
12,140,undirected
12,146,undirected
12,179,undirected
13,35,undirected
13,121,undirected
13,142,undirected
13,155,undirected
13,157,undirected
13,184,undirected
14,21,undirected
14,30,undirected
14,55,undirected
14,196,undirected
15,16,undirected
15,20,undirected
15,44,undirected
15,56,undirected
15,75,undirected
15,135,undirected
15,138,undirected
15,184,undirected
16,27,undirected
16,48,undirected
16,106,undirected
16,142,undirected
16,153,undirected
17,25,undirected
17,52,undirected
17,144,undirected
17,186,undirected
17,188,undirected
18,108,undirected
18,170,undirected
19,21,undirected
19,58,undirected
19,99,undirected
19,181,undirected
20,54,undirected
20,159,undirected
20,198,undirected
