Source,Target,Type
1,2,undirected
1,5,undirected
1,6,undirected
1,9,undirected
1,12,undirected
1,13,undirected
1,14,undirected
1,16,undirected
1,17,undirected
1,18,undirected
1,19,undirected
1,20,undirected
1,21,undirected
1,24,undirected
1,25,undirected
1,29,undirected
1,32,undirected
1,33,undirected
1,37,undirected
1,49,undirected
1,52,undirected
1,74,undirected
1,75,undirected
1,77,undirected
1,116,undirected
1,123,undirected
1,127,undirected
1,129,undirected
1,132,undirected
1,133,undirected
1,145,undirected
1,158,undirected
1,164,undirected
1,176,undirected
1,198,undirected
1,203,undirected
1,210,undirected
1,214,undirected
1,250,undirected
1,277,undirected
1,278,undirected
1,282,undirected
1,301,undirected
1,302,undirected
1,322,undirected
1,341,undirected
1,350,undirected
1,399,undirected
1,422,undirected
1,466,undirected
1,479,undirected
1,492,undirected
2,3,undirected
2,4,undirected
2,9,undirected
2,10,undirected
2,11,undirected
2,14,undirected
2,16,undirected
2,27,undirected
2,29,undirected
2,35,undirected
2,41,undirected
2,47,undirected
2,51,undirected
2,56,undirected
2,60,undirected
2,62,undirected
2,63,undirected
2,74,undirected
2,83,undirected
2,88,undirected
2,122,undirected
2,130,undirected
2,162,undirected
2,165,undirected
2,197,undirected
2,236,undirected
2,253,undirected
2,275,undirected
2,285,undirected
2,341,undirected
2,352,undirected
2,436,undirected
2,481,undirected
2,498,undirected
3,5,undirected
3,23,undirected
3,24,undirected
3,28,undirected
3,31,undirected
3,32,undirected
3,51,undirected
3,62,undirected
3,66,undirected
3,82,undirected
3,99,undirected
3,105,undirected
3,124,undirected
3,128,undirected
3,136,undirected
3,159,undirected
3,163,undirected
3,166,undirected
3,175,undirected
3,178,undirected
3,192,undirected
3,200,undirected
3,201,undirected
3,204,undirected
3,206,undirected
3,226,undirected
3,252,undirected
3,261,undirected
3,263,undirected
3,270,undirected
3,278,undirected
3,284,undirected
3,286,undirected
3,295,undirected
3,296,undirected
3,329,undirected
3,344,undirected
3,345,undirected
3,366,undirected
3,402,undirected
3,413,undirected
3,489,undirected
3,493,undirected
4,16,undirected
4,26,undirected
4,31,undirected
4,33,undirected
4,51,undirected
4,99,undirected
4,101,undirected
4,112,undirected
4,113,undirected
4,121,undirected
4,239,undirected
4,245,undirected
4,339,undirected
4,375,undirected
4,405,undirected
4,411,undirected
4,415,undirected
4,457,undirected
5,6,undirected
5,11,undirected
5,15,undirected
5,19,undirected
5,21,undirected
5,25,undirected
5,35,undirected
5,39,undirected
5,49,undirected
5,52,undirected
5,59,undirected
5,67,undirected
5,110,undirected
5,124,undirected
5,143,undirected
5,160,undirected
5,165,undirected
5,171,undirected
5,177,undirected
5,214,undirected
5,226,undirected
5,258,undirected
5,266,undirected
5,289,undirected
5,301,undirected
5,310,undirected
5,338,undirected
5,365,undirected
5,426,undirected
5,427,undirected
5,438,undirected
5,450,undirected
5,451,undirected
5,461,undirected
5,463,undirected
5,467,undirected
5,472,undirected
5,491,undirected
6,32,undirected
6,56,undirected
6,59,undirected
6,124,undirected
6,132,undirected
6,136,undirected
6,138,undirected
6,142,undirected
6,145,undirected
6,150,undirected
6,176,undirected
6,187,undirected
6,267,undirected
6,330,undirected
6,421,undirected
6,435,undirected
7,145,undirected
7,422,undirected
8,19,undirected
8,32,undirected
8,36,undirected
8,49,undirected
8,72,undirected
8,142,undirected
8,157,undirected
8,174,undirected
8,323,undirected
8,326,undirected
9,14,undirected
9,23,undirected
9,29,undirected
9,133,undirected
9,187,undirected
9,321,undirected
9,419,undirected
9,448,undirected
10,24,undirected
10,54,undirected
10,73,undirected
10,153,undirected
10,210,undirected
10,232,undirected
10,245,undirected
10,298,undirected
10,464,undirected
10,471,undirected
11,25,undirected
11,29,undirected
11,62,undirected
11,79,undirected
11,116,undirected
11,131,undirected
11,158,undirected
11,170,undirected
11,189,undirected
11,207,undirected
11,216,undirected
11,219,undirected
11,273,undirected
11,317,undirected
11,389,undirected
12,23,undirected
12,38,undirected
12,48,undirected
12,61,undirected
12,136,undirected
12,165,undirected
12,185,undirected
12,206,undirected
12,237,undirected
12,244,undirected
12,267,undirected
12,324,undirected
12,439,undirected
12,441,undirected
12,454,undirected
12,476,undirected
13,81,undirected
13,299,undirected
13,332,undirected
13,487,undirected
14,26,undirected
14,44,undirected
14,49,undirected
14,87,undirected
14,98,undirected
14,103,undirected
14,113,undirected
14,115,undirected
14,143,undirected
14,145,undirected
14,166,undirected
14,182,undirected
14,225,undirected
14,324,undirected
14,410,undirected
14,454,undirected
15,38,undirected
