Source,Target,Type
1,3,undirected
1,4,undirected
1,8,undirected
1,11,undirected
1,15,undirected
1,17,undirected
1,19,undirected
1,23,undirected
1,25,undirected
1,29,undirected
1,33,undirected
1,35,undirected
1,36,undirected
1,38,undirected
1,40,undirected
1,46,undirected
1,60,undirected
1,62,undirected
1,66,undirected
1,85,undirected
1,86,undirected
1,87,undirected
1,93,undirected
1,103,undirected
1,105,undirected
1,116,undirected
1,119,undirected
1,121,undirected
1,131,undirected
1,136,undirected
1,175,undirected
1,178,undirected
1,190,undirected
1,210,undirected
1,218,undirected
1,223,undirected
1,233,undirected
1,238,undirected
1,248,undirected
1,267,undirected
1,271,undirected
1,280,undirected
1,281,undirected
1,296,undirected
1,333,undirected
1,364,undirected
1,369,undirected
1,377,undirected
1,396,undirected
1,448,undirected
1,449,undirected
1,455,undirected
1,471,undirected
1,489,undirected
1,502,undirected
1,523,undirected
1,538,undirected
1,541,undirected
1,554,undirected
1,707,undirected
1,733,undirected
1,835,undirected
1,891,undirected
1,901,undirected
1,966,undirected
1,971,undirected
1,983,undirected
2,3,undirected
2,41,undirected
2,49,undirected
2,61,undirected
2,63,undirected
2,64,undirected
2,152,undirected
2,292,undirected
2,345,undirected
2,387,undirected
2,450,undirected
2,571,undirected
2,677,undirected
2,700,undirected
2,715,undirected
2,739,undirected
2,817,undirected
2,822,undirected
2,828,undirected
2,880,undirected
3,4,undirected
3,5,undirected
3,6,undirected
3,9,undirected
3,11,undirected
3,12,undirected
3,13,undirected
3,16,undirected
3,18,undirected
3,23,undirected
3,24,undirected
3,26,undirected
3,27,undirected
3,30,undirected
3,32,undirected
3,35,undirected
3,50,undirected
3,51,undirected
3,52,undirected
3,60,undirected
3,63,undirected
3,65,undirected
3,69,undirected
3,79,undirected
3,80,undirected
3,81,undirected
3,82,undirected
3,84,undirected
3,89,undirected
3,90,undirected
3,93,undirected
3,95,undirected
3,99,undirected
3,109,undirected
3,117,undirected
3,118,undirected
3,124,undirected
3,125,undirected
3,136,undirected
3,139,undirected
3,143,undirected
3,146,undirected
3,147,undirected
3,155,undirected
3,173,undirected
3,177,undirected
3,179,undirected
3,187,undirected
3,202,undirected
3,203,undirected
3,206,undirected
3,211,undirected
3,215,undirected
3,216,undirected
3,223,undirected
3,252,undirected
3,258,undirected
3,263,undirected
3,266,undirected
3,276,undirected
3,278,undirected
3,284,undirected
3,296,undirected
3,297,undirected
3,322,undirected
3,336,undirected
3,349,undirected
3,350,undirected
3,351,undirected
3,352,undirected
3,355,undirected
3,389,undirected
3,436,undirected
3,453,undirected
3,467,undirected
3,472,undirected
3,473,undirected
3,488,undirected
3,534,undirected
3,544,undirected
3,570,undirected
3,582,undirected
3,589,undirected
3,603,undirected
3,630,undirected
3,639,undirected
3,709,undirected
3,712,undirected
3,713,undirected
3,750,undirected
3,761,undirected
3,772,undirected
3,808,undirected
3,809,undirected
3,812,undirected
3,824,undirected
3,841,undirected
3,857,undirected
3,877,undirected
3,890,undirected
3,909,undirected
3,912,undirected
3,940,undirected
3,961,undirected
3,979,undirected
3,997,undirected
3,999,undirected
4,5,undirected
4,6,undirected
4,43,undirected
4,92,undirected
4,100,undirected
4,112,undirected
4,116,undirected
4,142,undirected
4,163,undirected
4,172,undirected
4,193,undirected
4,198,undirected
4,213,undirected
4,225,undirected
4,249,undirected
4,262,undirected
4,270,undirected
4,273,undirected
4,289,undirected
4,328,undirected
4,347,undirected
4,367,undirected
4,491,undirected
4,498,undirected
4,508,undirected
4,689,undirected
4,912,undirected
4,966,undirected
4,972,undirected
4,990,undirected
4,992,undirected
5,7,undirected
5,11,undirected
5,14,undirected
5,16,undirected
5,19,undirected
5,36,undirected
5,47,undirected
5,59,undirected
5,106,undirected
5,120,undirected
5,121,undirected
5,127,undirected
5,129,undirected
5,130,undirected
5,136,undirected
5,144,undirected
5,145,undirected
5,174,undirected
5,204,undirected
5,230,undirected
5,243,undirected
5,248,undirected
5,254,undirected
5,279,undirected
5,300,undirected
5,461,undirected
5,472,undirected
5,589,undirected
5,694,undirected
5,702,undirected
5,723,undirected
5,741,undirected
5,759,undirected
5,768,undirected
5,779,undirected
5,851,undirected
5,855,undirected
5,866,undirected
5,969,undirected
5,981,undirected
6,15,undirected
6,27,undirected
6,38,undirected
6,52,undirected
6,53,undirected
6,57,undirected
6,61,undirected
6,69,undirected
6,70,undirected
6,71,undirected
6,72,undirected
6,78,undirected
6,80,undirected
6,95,undirected
6,97,undirected
6,98,undirected
6,108,undirected
6,125,undirected
6,154,undirected
6,171,undirected
6,178,undirected
6,186,undirected
6,189,undirected
6,192,undirected
6,294,undirected
6,296,undirected
6,312,undirected
6,397,undirected
6,414,undirected
6,440,undirected
6,443,undirected
6,449,undirected
6,467,undirected
6,468,undirected
6,562,undirected
6,595,undirected
6,602,undirected
6,627,undirected
6,628,undirected
6,631,undirected
6,632,undirected
6,634,undirected
6,676,undirected
6,680,undirected
6,681,undirected
6,694,undirected
6,715,undirected
6,734,undirected
6,803,undirected
6,824,undirected
6,868,undirected
6,887,undirected
6,901,undirected
6,948,undirected
6,959,undirected
7,8,undirected
7,9,undirected
7,32,undirected
7,72,undirected
7,125,undirected
7,133,undirected
7,206,undirected
7,264,undirected
7,572,undirected
7,599,undirected
7,664,undirected
7,730,undirected
7,997,undirected
8,12,undirected
8,18,undirected
8,24,undirected
8,94,undirected
8,187,undirected
8,194,undirected
8,212,undirected
8,213,undirected
8,246,undirected
8,592,undirected
8,786,undirected
8,792,undirected
8,837,undirected
8,990,undirected
9,10,undirected
9,12,undirected
9,23,undirected
9,28,undirected
9,80,undirected
9,91,undirected
9,102,undirected
9,159,undirected
9,196,undirected
9,273,undirected
9,282,undirected
9,393,undirected
9,416,undirected
9,827,undirected
9,910,undirected
9,918,undirected
10,14,undirected
10,20,undirected
10,35,undirected
10,39,undirected
10,56,undirected
10,130,undirected
10,137,undirected
10,151,undirected
10,158,undirected
10,168,undirected
10,169,undirected
10,179,undirected
10,246,undirected
10,285,undirected
10,287,undirected
10,303,undirected
10,464,undirected
10,475,undirected
10,550,undirected
10,643,undirected
10,745,undirected
10,785,undirected
10,790,undirected
10,929,undirected
11,17,undirected
11,37,undirected
11,44,undirected
11,49,undirected
11,54,undirected
11,71,undirected
11,112,undirected
11,129,undirected
11,221,undirected
11,249,undirected
11,283,undirected
11,382,undirected
11,386,undirected
11,421,undirected
11,444,undirected
11,492,undirected
11,559,undirected
11,667,undirected
11,718,undirected
11,953,undirected
12,31,undirected
12,32,undirected
12,50,undirected
12,114,undirected
12,123,undirected
12,131,undirected
12,157,undirected
12,170,undirected
12,173,undirected
12,205,undirected
12,267,undirected
12,278,undirected
12,293,undirected
12,339,undirected
12,394,undirected
12,424,undirected
12,476,undirected
12,504,undirected
12,515,undirected
12,669,undirected
12,699,undirected
12,761,undirected
12,766,undirected
12,777,undirected
12,816,undirected
12,870,undirected
12,963,undirected
13,18,undirected
13,34,undirected
13,39,undirected
13,123,undirected
13,163,undirected
13,179,undirected
