Source,Target,Type
1,2,undirected
1,3,undirected
1,5,undirected
1,6,undirected
1,9,undirected
1,11,undirected
1,12,undirected
1,13,undirected
1,17,undirected
1,18,undirected
1,20,undirected
1,28,undirected
1,30,undirected
1,39,undirected
1,42,undirected
1,47,undirected
1,53,undirected
1,54,undirected
1,62,undirected
1,63,undirected
1,65,undirected
1,67,undirected
1,68,undirected
1,74,undirected
1,96,undirected
1,107,undirected
1,116,undirected
1,139,undirected
1,167,undirected
1,178,undirected
1,183,undirected
2,3,undirected
2,4,undirected
2,5,undirected
2,9,undirected
2,10,undirected
2,11,undirected
2,12,undirected
2,15,undirected
2,17,undirected
2,18,undirected
2,21,undirected
2,22,undirected
2,26,undirected
2,30,undirected
2,33,undirected
2,34,undirected
2,37,undirected
2,51,undirected
2,54,undirected
2,56,undirected
2,57,undirected
2,66,undirected
2,68,undirected
2,73,undirected
2,78,undirected
2,80,undirected
2,100,undirected
2,104,undirected
2,110,undirected
2,111,undirected
2,112,undirected
2,113,undirected
2,115,undirected
2,116,undirected
2,122,undirected
2,124,undirected
2,132,undirected
2,136,undirected
2,149,undirected
2,151,undirected
2,169,undirected
2,173,undirected
2,181,undirected
3,11,undirected
3,16,undirected
3,21,undirected
3,22,undirected
3,24,undirected
3,28,undirected
3,31,undirected
3,48,undirected
3,59,undirected
3,63,undirected
3,72,undirected
3,73,undirected
3,76,undirected
3,77,undirected
3,99,undirected
3,107,undirected
3,112,undirected
3,133,undirected
3,148,undirected
3,150,undirected
3,159,undirected
4,21,undirected
4,23,undirected
4,70,undirected
4,77,undirected
4,96,undirected
4,128,undirected
5,6,undirected
5,7,undirected
5,11,undirected
5,16,undirected
5,20,undirected
5,21,undirected
5,30,undirected
5,32,undirected
5,42,undirected
5,53,undirected
5,74,undirected
5,79,undirected
5,83,undirected
5,86,undirected
5,98,undirected
5,99,undirected
5,109,undirected
5,114,undirected
5,118,undirected
5,119,undirected
5,133,undirected
5,137,undirected
5,150,undirected
5,174,undirected
5,200,undirected
6,13,undirected
6,131,undirected
6,195,undirected
7,8,undirected
7,37,undirected
7,43,undirected
7,77,undirected
7,147,undirected
7,175,undirected
7,193,undirected
7,194,undirected
8,12,undirected
8,17,undirected
8,25,undirected
8,75,undirected
8,87,undirected
8,98,undirected
8,139,undirected
9,33,undirected
9,44,undirected
9,51,undirected
9,62,undirected
9,71,undirected
9,121,undirected
9,192,undirected
10,14,undirected
10,21,undirected
11,12,undirected
11,13,undirected
11,31,undirected
11,38,undirected
11,44,undirected
11,48,undirected
11,52,undirected
11,81,undirected
11,86,undirected
11,90,undirected
11,97,undirected
11,124,undirected
11,127,undirected
11,131,undirected
11,166,undirected
12,26,undirected
12,28,undirected
12,36,undirected
12,51,undirected
12,89,undirected
12,120,undirected
12,124,undirected
12,135,undirected
12,144,undirected
12,146,undirected
12,147,undirected
13,76,undirected
13,82,undirected
13,84,undirected
13,161,undirected
13,186,undirected
14,19,undirected
14,31,undirected
14,45,undirected
14,47,undirected
14,134,undirected
14,162,undirected
14,192,undirected
15,39,undirected
15,41,undirected
15,44,undirected
15,56,undirected
15,60,undirected
15,75,undirected
15,99,undirected
15,130,undirected
15,147,undirected
16,25,undirected
16,70,undirected
16,108,undirected
16,122,undirected
16,148,undirected
16,158,undirected
17,37,undirected
17,101,undirected
17,113,undirected
17,198,undirected
18,141,undirected
18,170,undirected
19,23,undirected
19,69,undirected
19,99,undirected
19,157,undirected
20,198,undirected
20,199,undirected
21,48,undirected
21,59,undirected
21,84,undirected
