Source,Target,Type
1,2,undirected
1,5,undirected
1,7,undirected
1,30,undirected
1,60,undirected
1,61,undirected
1,87,undirected
1,95,undirected
2,3,undirected
2,7,undirected
2,16,undirected
2,17,undirected
2,20,undirected
2,22,undirected
2,26,undirected
2,33,undirected
2,42,undirected
2,48,undirected
2,50,undirected
2,60,undirected
2,63,undirected
2,67,undirected
2,73,undirected
2,76,undirected
2,78,undirected
2,84,undirected
2,86,undirected
2,91,undirected
3,6,undirected
3,9,undirected
3,15,undirected
3,16,undirected
3,17,undirected
3,35,undirected
3,54,undirected
3,56,undirected
3,64,undirected
3,74,undirected
3,75,undirected
3,76,undirected
3,82,undirected
3,100,undirected
4,5,undirected
4,7,undirected
4,9,undirected
4,16,undirected
4,44,undirected
4,63,undirected
4,68,undirected
4,69,undirected
5,13,undirected
5,28,undirected
5,34,undirected
5,39,undirected
5,44,undirected
5,48,undirected
5,49,undirected
5,52,undirected
5,71,undirected
5,98,undirected
6,16,undirected
6,17,undirected
6,28,undirected
6,37,undirected
6,43,undirected
6,56,undirected
6,59,undirected
6,60,undirected
7,13,undirected
7,16,undirected
7,38,undirected
7,42,undirected
7,43,undirected
7,47,undirected
7,84,undirected
7,92,undirected
8,17,undirected
8,25,undirected
8,50,undirected
8,65,undirected
8,80,undirected
9,10,undirected
9,18,undirected
9,19,undirected
9,62,undirected
9,81,undirected
10,11,undirected
10,19,undirected
10,20,undirected
10,28,undirected
10,31,undirected
10,33,undirected
10,51,undirected
10,83,undirected
11,26,undirected
11,70,undirected
11,79,undirected
11,88,undirected
12,16,undirected
12,19,undirected
12,58,undirected
13,22,undirected
13,23,undirected
13,27,undirected
13,31,undirected
13,33,undirected
13,40,undirected
13,79,undirected
13,93,undirected
14,16,undirected
14,45,undirected
14,51,undirected
14,77,undirected
14,100,undirected
15,38,undirected
16,19,undirected
16,36,undirected
16,52,undirected
16,57,undirected
16,61,undirected
16,71,undirected
16,90,undirected
16,93,undirected
17,18,undirected
17,22,undirected
17,35,undirected
17,41,undirected
17,49,undirected
17,58,undirected
17,59,undirected
17,65,undirected
17,66,undirected
17,67,undirected
17,75,undirected
17,81,undirected
18,32,undirected
18,37,undirected
18,49,undirected
19,49,undirected
19,62,undirected
19,70,undirected
20,96,undirected
21,34,undirected
21,91,undirected
22,24,undirected
22,27,undirected
22,28,undirected
22,77,undirected
23,35,undirected
23,37,undirected
24,31,undirected
24,67,undirected
25,40,undirected
27,48,undirected
28,92,undirected
29,39,undirected
29,89,undirected
29,94,undirected
30,73,undirected
31,49,undirected
32,56,undirected
33,97,undirected
34,53,undirected
35,41,undirected
35,83,undirected
36,46,undirected
41,80,undirected
41,99,undirected
42,66,undirected
42,85,undirected
42,98,undirected
43,61,undirected
43,74,undirected
44,72,undirected
45,89,undirected
46,48,undirected
47,87,undirected
49,51,undirected
49,83,undirected
49,90,undirected
53,55,undirected
53,71,undirected
54,69,undirected
54,76,undirected
55,73,undirected
57,78,undirected
57,95,undirected
58,86,undirected
64,88,undirected
65,72,undirected
68,99,undirected
69,94,undirected
70,80,undirected
77,96,undirected
79,92,undirected
82,85,undirected
82,97,undirected
