Source,Target,Type
1,2,undirected
1,7,undirected
1,16,undirected
1,24,undirected
1,27,undirected
1,36,undirected
1,37,undirected
2,3,undirected
2,6,undirected
2,7,undirected
2,8,undirected
2,12,undirected
2,13,undirected
2,14,undirected
2,18,undirected
2,20,undirected
2,23,undirected
2,24,undirected
2,26,undirected
2,28,undirected
2,29,undirected
2,31,undirected
2,32,undirected
2,35,undirected
2,36,undirected
2,47,undirected
3,4,undirected
3,12,undirected
3,14,undirected
3,15,undirected
3,32,undirected
3,38,undirected
4,5,undirected
4,7,undirected
4,12,undirected
4,21,undirected
4,30,undirected
4,41,undirected
5,6,undirected
5,7,undirected
5,10,undirected
5,13,undirected
5,20,undirected
5,21,undirected
5,27,undirected
5,31,undirected
5,45,undirected
5,46,undirected
5,50,undirected
6,7,undirected
6,11,undirected
6,15,undirected
6,17,undirected
6,20,undirected
6,39,undirected
6,46,undirected
6,49,undirected
6,50,undirected
7,12,undirected
7,16,undirected
7,21,undirected
7,24,undirected
7,28,undirected
7,33,undirected
7,39,undirected
7,45,undirected
8,11,undirected
9,11,undirected
9,14,undirected
9,18,undirected
10,48,undirected
12,13,undirected
13,25,undirected
14,33,undirected
15,19,undirected
15,21,undirected
16,30,undirected
17,21,undirected
17,22,undirected
17,23,undirected
17,37,undirected
17,43,undirected
19,26,undirected
19,31,undirected
19,32,undirected
19,41,undirected
19,48,undirected
21,34,undirected
22,28,undirected
24,29,undirected
25,44,undirected
32,43,undirected
34,42,undirected
35,40,undirected
38,40,undirected
42,49,undirected
44,47,undirected
