Id,Label,size
1,1,19.000000
2,2,19.000000
3,3,18.000000
4,4,20.000000
5,5,28.000000
6,6,29.000000
7,7,27.000000
8,8,27.000000
9,9,29.000000
10,10,30.000000
11,11,30.000000
12,12,30.000000
13,13,30.000000
14,14,26.000000
15,15,25.000000
16,16,28.000000
17,17,27.000000
18,18,28.000000
19,19,24.000000
20,20,23.000000
21,21,24.000000
22,22,22.000000
23,23,23.000000
24,24,23.000000
25,25,23.000000
26,26,21.000000
27,27,23.000000
28,28,22.000000
29,29,24.000000
30,30,23.000000
31,31,23.000000
32,32,28.000000
33,33,28.000000
34,34,28.000000
35,35,26.000000
36,36,29.000000
37,37,29.000000
38,38,27.000000
39,39,29.000000
40,40,26.000000
41,41,25.000000
42,42,26.000000
43,43,24.000000
44,44,26.000000
45,45,23.000000
46,46,28.000000
47,47,27.000000
48,48,29.000000
49,49,23.000000
50,50,22.000000
51,51,25.000000
52,52,24.000000
53,53,24.000000
54,54,25.000000
55,55,23.000000
56,56,26.000000
57,57,25.000000
58,58,26.000000
59,59,24.000000
60,60,24.000000
61,61,23.000000
62,62,25.000000
63,63,29.000000
64,64,28.000000
65,65,30.000000
66,66,23.000000
67,67,22.000000
68,68,28.000000
69,69,24.000000
70,70,24.000000
71,71,23.000000
72,72,26.000000
73,73,25.000000
74,74,26.000000
75,75,26.000000
76,76,25.000000
77,77,25.000000
78,78,23.000000
79,79,22.000000
80,80,21.000000
81,81,23.000000
82,82,22.000000
83,83,20.000000
84,84,22.000000
85,85,22.000000
86,86,23.000000
87,87,23.000000
88,88,23.000000
89,89,23.000000
90,90,23.000000
91,91,24.000000
92,92,24.000000
93,93,24.000000
94,94,23.000000
95,95,25.000000
96,96,25.000000
97,97,25.000000
98,98,24.000000
99,99,24.000000
100,100,25.000000
101,101,24.000000
102,102,24.000000
103,103,24.000000
104,104,23.000000
105,105,23.000000
106,106,24.000000
107,107,25.000000
108,108,25.000000
109,109,22.000000
110,110,21.000000
111,111,26.000000
112,112,27.000000
113,113,26.000000
114,114,27.000000
115,115,26.000000
116,116,26.000000
117,117,28.000000
118,118,27.000000
119,119,26.000000
120,120,25.000000
121,121,26.000000
122,122,26.000000
123,123,26.000000
124,124,27.000000
125,125,25.000000
126,126,23.000000
127,127,22.000000
128,128,26.000000
129,129,25.000000
130,130,24.000000
131,131,22.000000
132,132,24.000000
133,133,22.000000
134,134,21.000000
135,135,22.000000
136,136,22.000000
137,137,21.000000
138,138,21.000000
