Id,Label,size
1,1,10.002257
2,2,10.525186
3,3,10.521008
4,4,10.791309
5,5,12.906026
6,6,9.820072
7,7,10.769844
8,8,11.660168
9,9,10.663193
10,10,9.957407
11,11,12.303481
12,12,11.781993
13,13,12.227755
14,14,11.213733
15,15,11.461753
16,16,9.943529
17,17,10.932965
18,18,10.591741
19,19,11.659400
20,20,9.152509
21,21,10.842449
22,22,11.149052
23,23,10.980792
24,24,9.560720
25,25,11.333157
26,26,10.917119
27,27,10.043505
28,28,11.747131
29,29,11.029436
30,30,12.110444
31,31,12.267851
32,32,14.073902
33,33,12.019880
34,34,9.969460
35,35,11.081248
36,36,11.163313
37,37,10.988812
38,38,11.279520
39,39,13.195870
40,40,13.195870
41,41,11.615750
42,42,13.981609
43,43,9.490228
44,44,9.112173
45,45,11.828283
46,46,9.605186
47,47,9.920864
48,48,12.664298
49,49,10.550396
50,50,10.517839
51,51,10.031116
52,52,8.518703
53,53,9.621465
54,54,10.470684
55,55,15.087635
56,56,14.513661
57,57,13.331669
58,58,15.210324
59,59,16.204850
60,60,15.459448
61,61,13.687923
62,62,11.300936
63,63,9.986315
64,64,11.290900
65,65,11.333013
66,66,9.963938
67,67,9.542521
68,68,8.043121
69,69,11.486579
70,70,11.698487
71,71,11.397071
72,72,9.694742
73,73,9.386411
74,74,10.899256
75,75,10.167059
76,76,10.414598
77,77,9.571477
78,78,10.793758
79,79,9.413589
80,80,11.885282
81,81,9.577287
82,82,10.696327
83,83,11.534742
84,84,12.008739
85,85,12.106651
86,86,9.434286
87,87,10.244706
88,88,12.133205
89,89,9.791357
90,90,11.525618
91,91,11.119952
92,92,12.135990
93,93,10.072557
94,94,9.949628
95,95,10.928884
96,96,10.587755
97,97,11.999136
98,98,11.376182
99,99,12.817719
100,100,11.052245
101,101,11.407731
102,102,10.007971
103,103,10.591501
104,104,10.330996
105,105,10.560768
106,106,11.201873
107,107,13.033517
108,108,9.374358
109,109,9.330180
110,110,9.557935
111,111,11.198223
112,112,11.635198
113,113,9.543625
114,114,11.236591
115,115,11.421993
116,116,9.118703
117,117,11.136711
118,118,10.528403
119,119,9.801825
120,120,10.344730
121,121,10.315006
122,122,9.717119
123,123,11.944682
124,124,9.216855
125,125,10.142425
126,126,11.215222
127,127,10.137959
128,128,10.683457
129,129,11.918992
130,130,14.115342
131,131,11.992125
132,132,9.618151
133,133,10.238511
134,134,10.139976
135,135,8.788187
136,136,9.284226
137,137,10.014070
138,138,13.126723
139,139,12.984442
140,140,13.832461
141,141,9.850516
142,142,12.136903
143,143,11.954190
144,144,11.623577
145,145,10.379496
146,146,11.118559
147,147,12.895606
148,148,8.550492
149,149,10.556014
150,150,12.151837
151,151,10.990492
152,152,11.005570
153,153,12.119136
154,154,11.188475
155,155,12.318031
156,156,11.300648
157,157,10.161825
158,158,9.797551
159,159,12.211188
160,160,13.023962
161,161,11.438367
162,162,12.085138
163,163,11.474094
164,164,13.006531
165,165,10.786939
166,166,12.300360
167,167,11.828475
168,168,9.870060
169,169,12.018343
170,170,11.600192
171,171,10.738631
172,172,9.438319
173,173,9.442161
174,174,10.854742
175,175,11.879328
176,176,10.251188
